Period,LCY1,LCY2,SIN1,SIN2,STA,RAND,EMP1,EMP2,EMP3,EMP4
1,11,23,130,122,100,178,2,47,44,49
2,17,32,150,130,100,178,51,81,116,188
3,26,42,127,120,100,136,152,236,264,64
4,38,55,76,98,100,211,467,394,144,279
5,53,70,27,77,100,119,268,164,146,453
6,71,86,10,70,100,165,489,287,198,224
7,92,103,36,81,100,47,446,508,74,223
8,115,120,88,103,100,100,248,391,183,517
9,138,136,136,124,100,62,281,754,204,291
10,159,150,149,130,100,31,363,694,114,547
11,175,161,121,118,100,43,155,261,165,646
12,186,168,68,95,100,199,293,195,318,224
13,190,170,22,75,100,172,220,320,119,215
14,186,168,11,71,100,96,93,111,482,440
15,175,161,42,84,100,69,107,191,534,116
16,159,150,96,107,100,8,234,160,136,185
17,138,136,140,126,100,29,124,55,260,211
18,115,120,148,129,100,135,184,84,299,26
19,92,103,114,115,100,97,223,58,76,55
20,71,86,60,91,100,70,101,0,218,0
21,53,70,18,73,100,248,123,0,323,0
22,38,55,14,72,100,57,99,0,102,0
23,26,42,50,87,100,11,31,0,174,0
24,17,32,104,110,100,94,82,0,284,0
25,11,23,144,127,100,13,0,0,0,0
