Period,SIN1,SIN2,STA,RAND
1,130,122,100,159
2,150,130,100,67
3,127,120,100,10
4,76,98,100,4
5,27,77,100,203
6,10,70,100,228
7,36,81,100,152
8,88,103,100,182
9,136,124,100,136
10,149,130,100,234
11,121,118,100,204
12,68,95,100,1
13,22,75,100,214
14,11,71,100,8
15,42,84,100,182
16,96,107,100,44
17,140,126,100,216
18,148,129,100,135
19,114,115,100,75
20,60,91,100,106
21,18,73,100,7
22,14,72,100,31
23,50,87,100,168
24,104,110,100,162
25,144,127,100,154
26,145,128,100,96
27,107,111,100,249
28,52,88,100,245
29,15,72,100,171
30,17,73,100,163
