,Period,SIN1,SIN2,STA,RAND
0,1,130,122,100,159
1,2,150,130,100,67
2,3,127,120,100,10
3,4,76,98,100,4
4,5,27,77,100,203
5,6,10,70,100,228
6,7,36,81,100,152
7,8,88,103,100,182
8,9,136,124,100,136
9,10,149,130,100,234
10,11,121,118,100,204
11,12,68,95,100,1
12,13,22,75,100,214
13,14,11,71,100,8
14,15,42,84,100,182
15,16,96,107,100,44
16,17,140,126,100,216
17,18,148,129,100,135
18,19,114,115,100,75
19,20,60,91,100,106
20,21,18,73,100,7
21,22,14,72,100,31
22,23,50,87,100,168
23,24,104,110,100,162
24,25,144,127,100,154
25,26,145,128,100,96
26,27,107,111,100,249
27,28,52,88,100,245
28,29,15,72,100,171
29,30,17,73,100,163
30,31,57,90,100,172
31,32,112,114,100,97
32,33,147,129,100,34
33,34,142,126,100,180
34,35,99,108,100,131
35,36,45,85,100,78
36,37,12,71,100,121
37,38,21,75,100,222
38,39,65,94,100,234
39,40,119,117,100,89
