Algo,Demand pattern,T,Fixed ordering cost,Proportional ordering cost,Penalty cost,Distribution,Distribution type,Computing time,Cost,s,S,Orders,Inventory
MCDP,SIN1,10,500,0,5,normal,0,3.449439,2510.0745606373694,"[ 47.27946833  93.3235728   95.33176133  56.04999549   0.54599108
 -16.10108417 -26.81107059  29.00002162 102.58829485  44.93600154]","[287.96634521 410.28514595 264.44528046 145.52819824 156.79256973
 134.15421982 128.45367508 374.1707756  294.52621765 162.39762421]","[2.87966345e+02 0.00000000e+00 2.56503016e+02 8.48530890e-04
 2.55597107e-03 5.82041289e-02 2.64737514e-03 3.83998725e+02
 1.67654265e+00 0.00000000e+00]","[157.9533638    7.9414524  137.46222384  61.47074082  34.4713215
  24.53017422 -11.46300988 284.54452267 150.23832717   1.22516753]"
MCDP,SIN1,10,1000,0,5,normal,0,1.62105,3524.7041058083464,"[ 44.5493858   93.12954191  95.33053113  43.31847795 -38.25663555
 -69.00589815 -38.00957728  29.00001857  91.2062836  -55.06451936]","[536.78442593 411.07320862 264.45706329 145.5284729  156.79311562
 398.64010792 400.70151558 374.17084694 294.52526436 162.33925476]","[5.36784426e+02 0.00000000e+00 0.00000000e+00 1.46085652e-02
 8.95747469e-03 4.69555954e-04 6.15705394e+00 3.77740469e+02
 9.56523757e+00 0.00000000e+00]","[406.77144451 256.75953312 129.77728806  53.79956508  26.80654726
  16.80766541 -13.03111212 276.71816524 150.30066466   1.28750503]"
MCDP,SIN1,10,1500,0,5,normal,0,1.799721,4524.7143529525965,"[  44.54854219   93.12955057   55.73960032   11.23652896  -50.1705369
  -69.00588842  -38.00960219   28.99991706   42.0762837  -155.06385212]","[536.78915501 411.07313061 264.45696259 392.04979439 356.37512474
 398.63995571 400.70151558 374.17106094 294.52403069 162.35414429]","[5.36789155e+02 0.00000000e+00 0.00000000e+00 0.00000000e+00
 9.02063574e-03 2.25898274e-02 6.20754171e+00 3.77681602e+02
 9.55721838e+00 0.00000000e+00]","[406.77617359 256.7642622  129.78201714  53.7896856   26.79673094
  16.81996936 -12.9683204  276.72208928 150.29656951   1.28340987]"
BS,SIN1,10,500,0,5,normal,0,31.540304,2534.938611635448,[ 60.  100.9 100.2  58.1   1.  -15.9 -26.4  32.7 104.1  44.6],"[521.06882703 406.64303652 272.27444367 147.48319647 157.29225805
 135.09589745 127.81875247 374.85555363 291.46584224 164.92552269]","[5.21068827e+02 0.00000000e+00 0.00000000e+00 8.44176789e-01
 9.61026199e+00 1.13034831e+01 2.65718841e-01 3.48396516e+02
 3.99962460e+01 0.00000000e+00]","[391.05584561 241.04393422 114.06168916  38.9135344   21.5218211
  22.82595275 -12.90415988 247.50116461 151.51467246   2.50151283]"
BS,SIN1,10,1000,0,5,normal,0,17.91148,3552.8009954754566,[ 60.  100.9 100.2  44.1 -38.2 -66.3 -34.1  32.7  92.2 -55.4],"[521.06882703 406.64303652 272.27444367 147.48319647 157.29225805
 403.58033631 402.72211874 374.85555363 291.46584224 164.92552269]","[5.21068827e+02 0.00000000e+00 0.00000000e+00 1.64770161e-01
 6.18875266e-02 3.06131871e-02 3.44459543e+01 3.73140165e+02
 1.33264191e+00 0.00000000e+00]","[ 3.91055846e+02  2.41043934e+02  1.14061689e+02  3.82341278e+01
  1.12940400e+01  1.32530179e+00 -2.24575402e-01  2.84924397e+02
  1.50274301e+02  1.26114144e+00]"
BS,SIN1,10,1500,0,5,normal,0,22.842627,4552.927723553978,[  60.   100.9   56.7   12.8  -48.   -66.3  -34.1   32.7   42.2 -155.4],"[521.06882703 406.64303652 272.27444367 387.53604756 326.86271818
 403.58033631 402.72211874 374.85555363 291.46584224 164.92552269]","[5.21068827e+02 0.00000000e+00 0.00000000e+00 3.79347704e-03
 9.56079164e-02 3.27713890e-01 3.48780088e+01 3.72578507e+02
 1.24087518e+00 0.00000000e+00]","[3.91055846e+02 2.41043934e+02 1.14061689e+02 3.80731511e+01
 1.11667837e+01 1.49514620e+00 3.77323547e-01 2.84964639e+02
 1.50222776e+02 1.20961592e+00]"
MCDP,SIN1,10,500,0,5,normal,1,1.603636,2649.9873993818965,"[ 43.5536044   88.42595313  90.17240364  54.69233216   0.70688316
 -17.48945674 -29.02226934  27.00024278 100.31197492  40.8721618 ]","[298.52106228 418.14126835 273.52194824 145.29921341 152.58493652
 134.30868073 132.90878906 375.33671818 304.048843   175.78072128]","[2.98521062e+02 3.48788400e-01 2.48757873e+02 5.88860611e+00
 1.47336460e+00 1.85136601e+00 7.14997682e-02 3.12839013e+02
 6.47204943e+01 3.64990510e-02]","[168.49509944  18.82005455 140.61343764  70.51738066  44.98679468
  36.83945787   0.91929469 225.77592351 154.53094152   5.54112112]"
MCDP,SIN1,10,1000,0,5,normal,1,1.690332,3692.817576111088,"[ 38.09203303  85.90254257  89.73833632  39.50563451 -41.36267831
 -66.21303062 -37.41915951  27.00008597  85.01323083 -59.12879819]","[549.11908665 427.73804359 275.61639481 145.30145645 152.58528442
 378.31431694 392.40314941 375.34139214 304.04751816 175.7971962 ]","[5.49119087e+02 0.00000000e+00 9.66855940e-04 1.80364797e+00
 9.47719565e-01 1.01030969e+00 3.07288971e+01 2.65141458e+02
 8.53721828e+01 2.03809680e-02]","[419.09312381 269.06929052 142.10576728  67.92475215  41.86852113
  32.880128    27.61736219 204.77643625 154.1831427    5.17720422]"
MCDP,SIN1,10,1500,0,5,normal,1,2.194677,4693.198353130783,"[  37.9488146    84.86830118   42.28520898    6.41462988  -44.88012028
  -66.21301676  -37.41916876   26.99998405   38.5347977  -159.12771466]","[550.96388397 428.3592968  519.50852051 409.87488632 361.14010086
 378.31417313 392.40314941 375.34146404 304.04970703 175.74648857]","[5.50963884e+02 0.00000000e+00 0.00000000e+00 7.25904637e-01
 4.05509001e+00 2.00976404e+00 3.06696415e+01 2.57111122e+02
 8.59337106e+01 1.07174058e-02]","[420.93792114 270.91408785 143.94959775  68.69083929  45.74197871
  37.75303993  32.43101845 201.55975618 151.52799047   2.51238842]"
BS,SIN1,10,500,0,5,normal,1,26.01016,2655.4846449481934,[ 84.5 116.6 106.6  60.5   1.9 -17.1 -28.4  34.3 104.   40.3],"[521.37591461 393.52273816 268.65920637 146.09779295 153.9057161
 131.65891922 131.23710493 376.73792727 297.25373449 180.52622539]","[5.21375915e+02 0.00000000e+00 6.09404419e-02 1.37246856e+01
 1.77685624e+01 8.00838455e+00 3.16991881e-01 2.96015579e+02
 7.75894914e+01 3.03959791e-02]","[391.34995177 241.32611848 114.42256882  52.16259137  42.92720321
  40.93688494   5.26221388 213.29540901 154.91942413   5.92350066]"
